GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
meals-booking-service,refeicoes,MealBookingRequest,0,15,0,0,0,6,0,3,0,3
meals-booking-service,refeicoes,MealsBookingService,0,284,1,31,0,50,1,25,0,10
meals-booking-service,refeicoes,Reservation,3,48,0,0,1,15,1,8,1,8
meals-booking-service,refeicoes,Main,7,0,0,0,3,0,2,0,2,0
